Filename;track type;Acc.%,Error 0;Error 1;Error 2;Error 3;TP;FP;FN;TN;Precision;Recall;F-measure
Romanticism_Romantic-Nationalism_Tchaikovsky_Tchaikovsky-Nutcracker-ChineseDance.mid (0, 1, 0, 0)
handel05.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_branden4.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_bjs83106.mid (1, 0, 0, 0)
Don_Giovanni_By_W.A.Mozart_La_Ci_Darem_La_Mano.mid (0, 0, 0, 1)
Classicism_Classicism_Hummel_2284lagalantreg.mid (0, 0, 0, 1)
Baroque_Baroque-Late_Pachelbel_pachelbel-canon_piano.mid (1, 0, 0, 0)
Romanticism_Romanticism_Beethoven_2212bagat6reg.mid (0, 0, 0, 1)
Classicism_Classicism_Mozart_Symphony35-41-011-k425_2.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Ave_Regina-2-Gloria.mid (1, 0, 0, 0)
Romanticism_Romanticism_Schumann_Short_Piano_Hide_and_Seek.mid (0, 1, 0, 0)
handel04.mid (1, 0, 0, 0)
Romanticism_Romanticism_Schubert_Divertissement_Hongroise_D.818_Op.54_1.Andante.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo-b.mid (1, 0, 0, 0)
Classicism_Classicism_Mozart_WAMJOKE2.mid (1, 0, 0, 0)
Classicism_Classicism_Mozart_Symphony35-41-011-mok425m2.mid (1, 0, 0, 0)
XXCentury_XX-Nationalism_Vaughan_Williams_WilliamsV_FantasiaTallis.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_OD-10-Libera_Me-c.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Dowland_dowland_if_my_complaints.mid (1, 0, 0, 0)
Ave_Maria_Palestrina.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_3PART_06.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Praetorius_pragav2.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Jesu_Nostra_Redemptio-c.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus-2c.mid (1, 0, 0, 0)
handel06.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Palestrina_palestrina_canticum_canticorum_03.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Haendel_Handel_WaterBouree.mid (1, 0, 0, 0)
Romanticism_Romanticism_Schubert_Six_Moments_Musicaux_D.780_Op.94_No.3_in_Fm_3.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-3-Credo-2c.mid (1, 0, 0, 0)
mozart_requiem_07_lacrymosa.mid (0, 1, 0, 0)
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-1-Kyrie-2b.mid (1, 0, 0, 0)
Romanticism_Romantic-Nationalism_Breton_547tbeapolo.mid (1, 0, 0, 0)
watermk.mid (1, 0, 0, 0)
Ne_Timeas_Maria_b.mid (0, 1, 0, 0)
Classicism_Classicism_Mozart_Symphony35-41-011-k385_3.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_LJbis8-Aleph_Quomodo_Obscuratum-2s.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_bjsmag7.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Vivaldi_gp_v07.mid (0, 1, 0, 0)
Renaissance_Renaissance-Late_Victoria_Ecce_Dominus_Veniet-s.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Pasion_San_Mateo.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Ecce_Sacerdos_Magnus-c.mid (1, 0, 0, 0)
mozart_requiem_10_sanctus.mid (0, 1, 0, 0)
Baroque_Baroque-Middle_Rosenmuller_0815studm_m.mid (1, 0, 0, 0)
Renaissance_Renaissance-Early_Anonymous_this_day_thaws.mid (1, 0, 0, 0)
erlking.mid (0, 1, 0, 0)
Baroque_Baroque-Late_Bach_wtc1242.mid (1, 0, 0, 0)
rusong18.mid (1, 0, 0, 0)
Romanticism_Romanticism_Schumann_Zigeunerleben_Op.29_No.3.mid (0, 1, 0, 0)
Renaissance_Renaissance-Late_Victoria_OD-10-Libera_Me-2s.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Falsobordon-1-2t.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Victimae_Paschale.mid (1, 0, 0, 0)
Renaissance_Renaissance-Early_Dufay_duFay-adieu_vins_lan.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_LJ2-Vau_Et_Egressus_Est-b.mid (1, 0, 0, 0)
bruop46b.mid (0, 0, 0, 1)
vdg5_rvn.mid (1, 0, 0, 0)
MozartNo10.mid (1, 0, 0, 0)
bach02.mid (1, 0, 0, 0)
Romanticism_Romanticism_Schubert_avemaria_R1.mid (1, 0, 0, 0)
vom_gimmel_och_da_komm_ich_her.mid (1, 0, 0, 0)
Romanticism_Romanticism_Beethoven_PATHETM1.mid (0, 0, 0, 1)
Le_Nozze_Di_Figaro_Di_W.A.Mozart_Porgi_Amor.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_ARIA_R2.mid (1, 0, 0, 0)
